Date,TotalSteps,TotalFloorsClimbed,TotalCaloriesBurned,TotalElevationGained,TotalElevationGainedUnit,TotalDistanceCovered,TotalDistanceCoveredUnit,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes
2/3/2016,10969,22,2680,67.06,meters,8.19,kilometers,1189,202,11,38
2/4/2016,8271,29,3798,88.39,meters,6.18,kilometers,966,245,157,72
2/5/2016,9861,25,2532,76.2,meters,7.37,kilometers,1233,151,10,46
2/6/2016,12883,37,2648,112.78,meters,9.62,kilometers,1189,183,51,17
2/7/2016,12894,19,2819,57.91,meters,9.63,kilometers,1125,276,34,5
2/8/2016,11145,63,2757,192.02,meters,8.33,kilometers,1143,272,9,16
2/9/2016,10365,22,2671,67.06,meters,7.74,kilometers,1164,251,3,22
2/10/2016,10537,19,2472,57.91,meters,7.87,kilometers,1259,115,12,54
2/11/2016,12958,17,2818,51.82,meters,9.68,kilometers,1171,238,4,27
2/12/2016,11822,27,2730,82.3,meters,8.83,kilometers,1148,241,10,41
2/13/2016,8642,20,2419,60.96,meters,6.46,kilometers,1241,155,22,22
2/14/2016,1102,0,1857,0,meters,0.82,kilometers,1382,58,0,0
2/15/2016,12308,41,2766,124.97,meters,9.19,kilometers,697,230,19,38
2/16/2016,10570,22,2658,67.06,meters,7.9,kilometers,705,235,7,32
2/17/2016,10144,35,2700,106.68,meters,7.58,kilometers,789,219,6,24
2/18/2016,9300,28,2582,85.34,meters,6.95,kilometers,766,163,10,42
2/19/2016,12449,30,2764,91.44,meters,9.3,kilometers,721,203,32,41
2/20/2016,11876,18,2941,54.86,meters,8.87,kilometers,996,260,22,52
2/21/2016,11485,43,2701,131.06,meters,8.58,kilometers,806,208,52,5
2/22/2016,9848,18,2629,54.86,meters,7.36,kilometers,1037,207,18,31
2/23/2016,9072,24,2434,73.15,meters,6.78,kilometers,852,159,16,29
3/1/2016,13413,42,2827,128.02,meters,10.02,kilometers,1134,233,25,48
3/28/2016,11545,47,2495,143.26,meters,8.62,kilometers,1235,112,89,4
3/29/2016,18651,108,3041,329.18,meters,13.93,kilometers,1125,156,62,97
3/30/2016,4232,34,2358,103.63,meters,3.16,kilometers,1254,159,21,6
3/31/2016,9508,22,2484,67.06,meters,7.1,kilometers,1275,83,21,61
4/1/2016,8177,18,2583,54.86,meters,6.11,kilometers,1183,184,50,23
